president,fiscal,total,share,ideology,ideology_share
AF,119,6264,0.018997445721583652,998,0.15932311621966794
Macri,7,5247,0.0013340956737183153,338,0.06441776253097008
Milei,100,4686,0.021340162185232606,248,0.052923602219376864
